name,level,hasChild,parent,link,item_codes
"Nước rửa rau, củ, quả",2,False,"Rau củ, trái cây",https://cooponline.vn/groups/nuoc-rua-rau-cu-qua/,94725
Củ,3,False,Rau Củ,https://cooponline.vn/groups/cu/,"107042,105246,105244,105232,105121,99790,99696,96164,96162,96148,95984,93278,93254,93233,93231,93229,93227,93225,93223,93221,93219,93217,93214,93212,93210,93208,93206,93204,93202,93200,93198,93193,93191,93189,93187,93185,93183,93179,93177,93175,93173,93171,93169,93167,93165,93163,93161,93159,93157,93155,93153,91516,91512,91502,88950,88922,88909,88907,88903,88885,88788,87375,86488,86021,85770,85648,81510,81195,81121,81118,81114,81110,81108,81106,81104,81098,81096,81093,81090,81088,81086,81084,81081,81078,81076,81074,81072,81069,81062,81014,80742,80740,80738,80736,80734,80732,80730,80728,80726,80251,80222,78539,78537,78535,78488,77054,77052,77050,77048,77044,74561,74557,74555,74553,74541,74433,74431,74429,71980,71605,71601,71599,71595,71593,71585,71579,71560,71558,71554,71552,71550,71548,71546,71544,71542,71528,71526,71523,71521,70119,70053,70049,69391,68911,68839,67826,66273,66271,66269,66267,66265,66263,66261,66257,66255,66253,66251,66247,66245,66243,66240,66236,66237,66137,66135,65977,63059,61314,61312,61300,61294,61292,61290,61039,59676,59674,59670,59668,59666,59664,59662,59660,59654,59652,59650,59642,58741,57277,51809,51789,51787,51785,51781,51779,51628,46108,45245,45239,45221,45219,45190,45155,45126,45092,45090,43296,43294,43289,26661,1166,27407,40444,39036,38765,38322,38320,38318,38316,38311,38308,7070,37234,273,36364,6383,35612,35575,34055,34052,34046,34029,33906,33900,33897,33891,33850,33848,33845,33843,33647,33645,33641,33634,33630,33628,33597,33593,33587,33577,33573,33124,32494,32471,32444,32442,32292,32109,31813,31662,31435,31431,31414,31410,31014,30995,30988,30987,30986,30985,30770,30735,30728,30577,30568,29452,29245,29236,29206,29204,29202,29200,29192,29127,29125,29123,29117,29115,29113,29107,29105,29102,29096,28749,28747,28708,28575,28572,28568,28500,28494,28492,27932,27845,27831,27825,27823,27805,27795,27781,27762,27708,27695,27693,27674,27671,27666,27531,27412,27409,1149,26703,26701,26673,26671,26667,26649,25827,25235,2320,24852,24850,2038,23711,23709,23707,1183,1180,266,1131,17035,16260,260,16117,14066,13198,13196,13194,13188,13182,13180,13178,13176,13172,13170,13168,13136,13134,13116,13114,13112,13108,13109,13106,13104,13102,12497,12362,12330,12299,12297,11310,11305,10145,9815,9466,8581,8568,7722,7715,7221,7072,6787,241,6444,6438,6413,6391,6389,6387,6385,2833,2830,2597,276"
"Rau nêm, rau thơm",3,False,Rau Củ,https://cooponline.vn/groups/rau-nem-rau-thom/,"99682,93151,93149,93145,93143,93132,93096,93092,93083,87379,87377,81557,81550,81548,81542,81539,80768,80766,80762,80756,80754,80751,80746,71575,68831,68820,68818,68814,68748,68746,68743,68710,68696,68675,68671,68661,46103,45265,45263,45261,45259,45257,45255,45248,45240,45236,45201,45199,45195,45184,45180,45139,45136,44643,43244,33904,33871,33869,33867,33865,33863,33861,33859,33857,33636,33626,33611,33500,32502,32300,31812,30787,30776,29524,29194,29158,29154,29150,29148,29146,29142,29138,28879,28872,28715,28565,28483,27699,27604,27535,27519,27402,27400,27398,25814,25812,25810,25808,22410,9002,9000,6440,6401,6379"
"Rau xào, nấu canh",3,False,Rau Củ,https://cooponline.vn/groups/rau-xao-nau-canh/,"105242,105240,105238,105236,99835,99800,99788,99786,99784,99692,99688,99686,93742,93147,93141,93139,93137,93134,93130,93128,93126,93124,93122,93120,93117,93113,93111,93099,93089,93086,92250,92248,92246,92244,91514,91506,91504,90167,90164,90161,90159,90157,90155,90153,90151,90147,70047,88944,88940,88938,86085,82745,81555,81553,81546,81539,81537,81535,81533,81531,81529,81527,81523,81519,81517,81209,80764,80760,80758,80750,80748,80744,80364,74559,72646,72644,72637,72635,71983,71976,71577,71571,71519,71407,71405,71403,71401,71399,71397,71395,71390,70061,68830,68832,68833,68828,68826,68824,68822,68783,68778,68776,68770,68768,68764,68754,68741,68733,68712,68708,68706,68704,68702,68700,68698,68693,68691,68679,68674,68670,68669,68651,68645,68538,68525,68524,68514,68511,68493,68487,68472,68469,68454,68452,68437,68422,68374,67827,66279,61310,61308,61306,61304,61302,61298,61296,61284,59672,59658,59656,59648,59646,59644,58743,58026,58024,58020,58018,56738,56728,56465,54955,54953,54950,51906,51902,51900,51815,51811,51807,51805,51799,51797,51795,51783,51777,51773,51771,51769,51766,46859,46130,46128,45253,45250,45153,45151,45149,45145,45132,45134,44711,44707,43241,43239,43237,43234,43231,43229,43227,41584,33496,2573,26713,38343,38341,38339,38337,38334,38332,38330,38326,38324,38313,38210,34555,34547,34545,34543,34541,34535,34140,34138,34136,34027,33912,33902,33895,33893,33889,33887,33885,33883,33881,33855,33853,33841,33839,33836,33834,33832,33830,33828,33826,33643,33639,33633,33624,33622,33620,33617,33615,33613,33609,33607,33605,33603,33601,33599,33571,33514,33512,33510,33508,33506,33504,33502,33498,33491,33488,33077,33075,32298,31441,31440,31439,31434,31433,31416,30788,30765,30708,30574,29198,29196,29160,29152,29140,29135,29131,29129,29111,29109,28740,28706,28559,28557,28555,28552,28550,28546,28540,28502,28485,27872,27864,27851,27793,27789,27641,27537,27533,27529,27524,26725,26717,26715,26711,26709,26705,26669,26644,2024,24848,24844,24840,24838,24836,24833,2240,2237,23685,23683,1163,18104,271,1143,14538,13299,13297,12747,12492,12295,9674,9595,9593,9543,8578,1651,2176,251,248,238,6442,6403,2735,2732,2723,2670,2603,2600,2576,1593,1177,235"
Xà lách,3,False,Rau Củ,https://cooponline.vn/groups/xa-lach/,"99807,99796,99794,93115,92241,88948,88946,88942,88928,81746,81525,81515,81512,81187,80419,68479,68475,61288,61286,61282,61280,61278,56467,51626,51620,51618,43255,43252,43248,2580,35616,33910,33908,28476,26723,26721,26719,13397,13395,13392,13390,13388,13378,12301,9541,721"
"Cam, bưởi, quýt",3,False,Trái cây,https://cooponline.vn/groups/cam-buoi-quyt/,"105122,105076,104953,99827,93251,93243,82419,81567,80829,80366,72642,72640,68932,68930,68918,68916,58728,51860,51760,50977,45980,41474,41472,34048,34040,33130,33126,32284,31009,30877,30739,30730,30726,30579,29070,27944,27705,27415,26647,16269,13120,13100,13098,13096,12749,10847,10857,7731,2713,2710,1599,1173"
Dưa,3,False,Trái cây,https://cooponline.vn/groups/dua/,"105124,105054,93260,93241,93239,93237,93235,84449,82042,82044,81565,81561,68920,68909,68907,68902,66722,66576,32473,63056,51948,51819,51775,45159,45157,42605,42603,42595,34743,30710,30581,29520,28901,28892,27727,27702,27698,27543,2584,23695,23693,23691,23687,17010,17008,14651,14649,6472,973,518"
"Nho, kiwi",3,False,Trái cây,https://cooponline.vn/groups/nho-kiwi/,"93282,93280,71597,70943,68845,45223,45225,30862,35614,33922,33918,33914,32496,32469,32467,32457,32446,32438,31022,30989,30790,30759,29866,29085,28949,27808,27772,27723,27582,14653,12528,9820,7066,7037,1223,639,507,504"
"Táo, lê",3,False,Trái cây,https://cooponline.vn/groups/tao-le/,"99825,94793,94784,94782,94779,94775,93291,81559,80871,72607,71603,71587,70589,70585,70567,69389,68938,68924,68922,68896,68894,68880,62492,62474,62472,58831,58732,58726,56659,44813,44810,37536,34254,34023,33924,33916,33048,32479,32477,32475,32459,32448,32276,32274,31815,31809,30997,30994,30858,30741,30583,30571,29864,29518,29188,29081,29068,28710,27951,27949,27784,27778,27736,27721,27716,27688,27649,27577,27551,27549,27547,27545,22524,22516,22514,22511,17745,16855,15129,14759,12501,7717,499,2717,2667,1226,636"
Trái cây khác,3,False,Trái cây,https://cooponline.vn/groups/trai-cay-khac/,"105409,105408,104770,104763,104653,104546,104543,99977,99831,99702,99698,96399,93286,93284,93257,93249,93247,93245,91499,91497,87969,87967,81583,81581,81579,81577,81575,81571,81569,81563,80868,80866,80849,80840,80837,80834,80770,80479,79106,79102,79099,71997,71994,71987,71583,71581,71573,71569,71567,68936,68934,68928,68926,68914,68904,68900,68898,68892,68888,68886,68884,68882,68878,68859,68857,68856,68854,68852,68850,68848,68843,68841,68723,65971,41076,59680,59678,56158,51803,51793,46429,46114,45210,39664,39034,38763,38723,38721,38719,38717,37251,37232,37229,37227,35610,34260,34258,34256,34025,33995,33920,33128,32492,32465,32440,32436,32280,31437,31407,31011,30991,30852,30761,30756,30747,30724,30720,30716,30714,30712,30585,30569,29862,29859,29857,29522,29512,29190,29186,29184,29121,29119,29094,29092,29090,29088,29079,29077,29075,29073,29045,28945,28916,28909,28577,27946,27829,27813,27786,27765,27718,27636,27580,27541,27527,1204,25243,2590,21884,1217,17007,16983,2027,16878,16877,15777,14757,14753,14081,13300,13141,13140,13138,976,9470,7148,6474,6321,6319,2820,2615,2612,2587,2058,1446,1198,496,492"
